Time [ms],Date,Time,Rel.Time [s],Id,Name,Unit,Value Old,Value New
1547629751344,2019-01-16,09:09:11.344,0,FiO2,FiO2,%,,46.0000
1547629751344,2019-01-16,09:09:11.344,0,VTi,VTi,L,,0.0030
1547629751344,2019-01-16,09:09:11.344,0,Ti,Ti,s,,0.3300
1547629751344,2019-01-16,09:09:11.344,0,Te,Te,s,,0.6700
1547629751344,2019-01-16,09:09:11.344,0,I (I:E),I (I:E),no unit,,1.0000
1547629751344,2019-01-16,09:09:11.344,0,E (I:E),E (I:E),no unit,,2.0000
1547629751344,2019-01-16,09:09:11.344,0,RR,RR,1/min,,60.0000
1547629751344,2019-01-16,09:09:11.344,0,PEEP,PEEP,mbar,,5.0000
1547629751344,2019-01-16,09:09:11.344,0,Pmax,Pmax,mbar,,30.0000
1547629751344,2019-01-16,09:09:11.344,0,MVhigh delay,MVhigh delay,s,,10.0000
1547629751344,2019-01-16,09:09:11.344,0,MVlow delay,MVlow delay,s,,10.0000
1547629751344,2019-01-16,09:09:11.344,0,Flow trigger,Flow trigger,L/min,,0.2000
1547629751344,2019-01-16,09:09:11.344,0,Slope,Slope,s,,0.0800
1547629751344,2019-01-16,09:09:11.344,0,VTi,VTi,mL,,2.9000
1547631803329,2019-01-16,09:43:23.329,2052,FiO2,FiO2,%,46.0000,50.0000
1547633040374,2019-01-16,10:04:00.374,3289,FiO2,FiO2,%,50.0000,47.0000
1547633095359,2019-01-16,10:04:55.359,3344,FiO2,FiO2,%,47.0000,45.0000
1547633860332,2019-01-16,10:17:40.332,4109,FiO2,FiO2,%,45.0000,42.0000
1547634041334,2019-01-16,10:20:41.334,4290,FiO2,FiO2,%,42.0000,40.0000
1547637383351,2019-01-16,11:16:23.351,7632,FiO2,FiO2,%,40.0000,38.0000
1547642304342,2019-01-16,12:38:24.342,12553,FiO2,FiO2,%,38.0000,36.0000
1547646241373,2019-01-16,13:44:01.373,16490,FiO2,FiO2,%,36.0000,34.0000
1547651336337,2019-01-16,15:08:56.337,21585,FiO2,FiO2,%,34.0000,33.0000
1547656757353,2019-01-16,16:39:17.353,27006,FiO2,FiO2,%,33.0000,32.0000
1547657939318,2019-01-16,16:58:59.318,28188,FiO2,FiO2,%,32.0000,30.0000
1547662145427,2019-01-16,18:09:05.427,32394,FiO2,FiO2,%,30.0000,35.0000
1547662839338,2019-01-16,18:20:39.338,33088,FiO2,FiO2,%,35.0000,30.0000
1547663089341,2019-01-16,18:24:49.341,33338,FiO2,FiO2,%,30.0000,32.0000
1547663484329,2019-01-16,18:31:24.329,33733,FiO2,FiO2,%,32.0000,34.0000
1547663606331,2019-01-16,18:33:26.331,33855,FiO2,FiO2,%,34.0000,38.0000
1547664178364,2019-01-16,18:42:58.364,34427,FiO2,FiO2,%,38.0000,42.0000
1547665148341,2019-01-16,18:59:08.341,35397,FiO2,FiO2,%,42.0000,40.0000
1547665155372,2019-01-16,18:59:15.372,35404,FiO2,FiO2,%,40.0000,45.0000
1547667401349,2019-01-16,19:36:41.349,37650,FiO2,FiO2,%,45.0000,40.0000
1547668972347,2019-01-16,20:02:52.347,39221,FiO2,FiO2,%,40.0000,38.0000
1547693758365,2019-01-17,02:55:58.365,64007,FiO2,FiO2,%,38.0000,50.0000
1547699731336,2019-01-17,04:35:31.336,69980,FiO2,FiO2,%,50.0000,40.0000
1547707966348,2019-01-17,06:52:46.348,78215,FiO2,FiO2,%,40.0000,35.0000
1547707979348,2019-01-17,06:52:59.348,78228,FiO2,FiO2,%,35.0000,30.0000
1547708168366,2019-01-17,06:56:08.366,78417,FiO2,FiO2,%,30.0000,35.0000
1547712022354,2019-01-17,08:00:22.354,82271,FiO2,FiO2,%,35.0000,40.0000
1547712879337,2019-01-17,08:14:39.337,83128,FiO2,FiO2,%,40.0000,45.0000
1547722264357,2019-01-17,10:51:04.357,92513,FiO2,FiO2,%,45.0000,40.0000
1547723423345,2019-01-17,11:10:23.345,93672,FiO2,FiO2,%,40.0000,37.0000
